Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Chinese Kitchen,,North Jaipur,6 Dining Reviews,Not enough Delivery Reviews,,"Chinese, Momos",300,no,no,yes,yes,,
Chinese Kitchen,,West Jaipur,6 Dining Reviews,Not enough Delivery Reviews,,"Chinese, Momos",300,no,no,yes,yes,,
Chinese Kitchen,,South Jaipur,6 Dining Reviews,Not enough Delivery Reviews,,"Chinese, Momos",300,no,no,yes,yes,,
Chinese Kitchen,,South Jaipur,6 Dining Reviews,Not enough Delivery Reviews,,"Chinese, Momos",300,no,no,yes,yes,,
Chinese O Clock,,Raja Park,33 Dining Reviews,125 Delivery Reviews,Quick Bites ,"Chinese, Fast Food",400,no,no,yes,yes,3.5,3.4
Ching Chong,,Raja Park,4 Dining Reviews,Does not offer Delivery,Quick Bites ,Chinese,250,no,no,no,yes,3.4,
Ching Chong The Chinese Corner,,Pratap Nagar,7 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Chinese,150,no,no,yes,yes,3.2,
Chingal Dev Hul Hul Restro,,Jagatpura,Does not offer Dining,42 Delivery Reviews,Quick Bites ,"North Indian, Fast Food",200,no,no,yes,no,,3.5
Chit Chat Restaurant,,Bani Park,13 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, South Indian, Fast Food",400,yes,no,no,yes,3.3,
Chitra Cafeteria,,Sansar Chandra Road,114 Dining Reviews,Does not offer Delivery,Casual Dining ,"Continental, North Indian",550,no,no,no,yes,4.1,
Choco Mozart,,Bais Godam,Does not offer Dining,29 Delivery Reviews,Confectionery ,Desserts,250,no,no,yes,no,,3.5
ChocoHeart,,Khatipura Road,Does not offer Dining,17 Delivery Reviews,Bakery ,Bakery,500,no,no,yes,no,,3.9
Choc-O-Love Mart,,West Jaipur,Does not offer Dining,70 Delivery Reviews,Dessert Parlor ,"Desserts, Bakery",500,yes,no,yes,no,,3.9
Chocorex,,Pink City,Does not offer Dining,57 Delivery Reviews,"Quick Bites, Dessert Parlor ","Fast Food, Desserts",200,no,no,yes,no,,3.9
Chocostation,,Gopalpura,Not enough Dining Reviews,Does not offer Delivery,Confectionery ,Desserts,150,no,no,no,yes,,
Chocs N Chillies,,Malviya Nagar,46 Dining Reviews,216 Delivery Reviews,Quick Bites ,North Indian,350,yes,no,yes,yes,3.6,4.1
Choice Restaurant,,MI Road,11 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese, Continental",600,yes,no,no,yes,2.7,
Chokha Amer Restaurant,,Amer,7 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.6,
Chokha Punjab,,Ajmer Highway,164 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,750,yes,yes,no,yes,3.8,
Chokhaa Dhaba,,Sitapur,21 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Desserts",400,yes,no,yes,yes,2.9,
Chokhi Dhani,,Sitapur,"2,385 Dining Reviews",Does not offer Delivery,Casual Dining ,"Rajasthani, North Indian, Mughlai, Italian, Asian, Desserts","1,800",no,no,no,yes,4.5,
Chokhi Handi,,Bais Godam,42 Dining Reviews,961 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.4,3.8
Chool,,C Scheme,"1,230 Dining Reviews",122 Delivery Reviews,CAFÉ ,"Cafe, North Indian, Fast Food, South Indian","1,000",yes,no,yes,yes,4.7,3.7
Chopra's Cafe Restuarant Banquet,,Vaishali Nagar,30 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"Fast Food, North Indian, Chinese, South Indian, Beverages",700,yes,no,yes,yes,2.9,
Chopsticks,,Vaishali Nagar,Does not offer Dining,Not enough Delivery Reviews,,"Fast Food, Chinese",300,no,no,yes,no,,
Chotia Fast Food,,Jhotwara,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,250,no,no,yes,no,,
Chotiwala Restaurant,,Bani Park,47 Dining Reviews,606 Delivery Reviews,Casual Dining ,"North Indian, South Indian",500,yes,no,yes,yes,3.6,3.7
Choudhary Annapurna Bhojanalaya,,Khatipura Road,636 Dining Reviews,15.8K Delivery Reviews,Bhojanalya ,North Indian,350,yes,no,yes,yes,4,3.7
Choudhary Dhaba,,Khatipura Road,425 Dining Reviews,Does not offer Delivery,Bhojanalya ,North Indian,300,yes,no,no,yes,4.1,
Choudhary Dhaba,,Sitapur,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.1,
Choudhary Hotel,,Sikar Road,47 Dining Reviews,340 Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",250,yes,no,yes,yes,3,4
Choudhary Juice Center,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,Beverage Shop ,Juices,150,no,no,yes,no,,
Choudhary Juice Center,,Ajmer Highway,Not enough Dining Reviews,Does not offer Delivery,Beverage Shop ,Juices,100,no,no,no,yes,,
Choudhary Pavitra Bhojnalaya,,Jhotwara,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,yes,no,no,yes,,
Choudhary Restaurant,,Bapu Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Rajasthani,150,yes,no,no,yes,3.3,
Choudhary Restaurant and Tiffin Centre,,Malviya Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,,
Chouhans Kitchen,,Malviya Nagar,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,450,no,no,yes,yes,3.8,
Choupal Restaurant,,Sitapur,8 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Rajasthani","1,200",no,no,no,yes,3.5,
Choupati Caterers,,Shyam Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese",200,no,no,yes,yes,,
Chow Tao By White Kitchens,,Lal Kothi,67 Dining Reviews,78 Delivery Reviews,Quick Bites ,"Momos, Chinese",500,no,no,yes,yes,3.7,3.5
Chowdhary Pavitra Bhojnalaya And Restaurant,,Jhotwara,20 Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,300,yes,no,no,yes,3,
Chowk,,Malviya Nagar,"2,460 Dining Reviews",170 Delivery Reviews,Casual Dining ,North Indian,"1,200",yes,no,yes,yes,4.5,3.9
Chuck De Jaipur,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Continental, Chinese",250,no,no,yes,no,,
Chulha,,Khatipura Road,23 Dining Reviews,225 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food",850,no,no,yes,yes,3,3.8
Chulha Choka,,Adarsh Nagar,Does not offer Dining,150 Delivery Reviews,,"North Indian, Fast Food",250,yes,no,yes,no,,4
Chulha Choki,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Chinese, Italian",300,yes,no,yes,no,,
Churma Walaz,,Chitrakoot,111 Dining Reviews,"1,480 Delivery Reviews",Quick Bites ,Rajasthani,200,yes,no,yes,yes,3.6,3.6
Chuski The Taste Of Tea,,Sanganer,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Tea, Rajasthani",150,no,no,yes,yes,3.3,
Cinnamon,,Bani Park,21 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,North Indian,"1,000",no,yes,yes,yes,2.3,
Cinnamon - Jai Mahal Palace,,Civil Lines,207 Dining Reviews,Does not offer Delivery,Fine Dining ,North Indian,"3,600",no,yes,no,yes,4.3,
Circle's Treat,,Bani Park,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, North Indian, Chinese",350,yes,no,yes,yes,2.9,
Citrus CAFÉ - Lemon Tree Premier,,Bani Park,147 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Continental","1,500",no,yes,no,yes,3.9,
City Confectionary,,Jhotwara,Not enough Dining Reviews,Does not offer Delivery,Bakery ,"Bakery, Beverages, Desserts",200,no,no,no,yes,,
City Heights,,Malviya Nagar,966 Dining Reviews,335 Delivery Reviews,Casual Dining ,"North Indian, Continental, Italian, Chinese, Mexican",900,yes,no,yes,yes,4.6,3.9
City Nuts,,Shyam Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Healthy Food, Chinese",500,no,no,yes,yes,,
City Pulse Food Court,,Narayan Singh Circle,5 Dining Reviews,Does not offer Delivery,Quick Bites ,"Street Food, Fast Food",150,yes,no,no,yes,3.2,
Classic 7 Restaurant,,Ajmer Highway,19 Dining Reviews,164 Delivery Reviews,Casual Dining ,"North Indian, Chinese",500,yes,no,yes,yes,3.6,3.7
Classic Chinese,,Chitrakoot,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Chinese",300,no,no,yes,no,,
Classic Restaurant,,Chitrakoot,336 Dining Reviews,"6,813 Delivery Reviews",Bhojanalya ,"North Indian, South Indian, Fast Food, Beverages",350,no,no,yes,yes,3.8,3.8
Clever Fox Cafe,,Malviya Nagar,61 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Mughlai, Continental",700,no,yes,no,yes,2.8,
Clg Tea Cafe,,Raja Park,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Beverages",550,no,no,yes,no,,
Cloud 9,,Vaishali Nagar,11 Dining Reviews,Does not offer Delivery,Lounge ,"North Indian, Chinese, Fast Food, Mughlai","1,200",no,no,no,yes,3,
Cloud Cake Company,,Malviya Nagar,Does not offer Dining,24 Delivery Reviews,Bakery ,Bakery,800,no,no,yes,no,,3.8
Club 7teen,,Shyam Nagar,100 Dining Reviews,Does not offer Delivery,Bar ,"North Indian, Chinese, Italian, Finger Food","1,200",no,yes,no,yes,3.2,
Club Elaaka Restro & Bar,,Jhotwara,9 Dining Reviews,Not enough Delivery Reviews,Bar ,North Indian,"1,000",no,no,yes,yes,3.2,
Club Patio,,Mansarovar,96 Dining Reviews,88 Delivery Reviews,"Casual Dining, Bar ","North Indian, Fast Food, Finger Food","1,000",no,yes,yes,yes,3.5,3.2
Club PUB-G,,Bani Park,4 Dining Reviews,Does not offer Delivery,Bar ,"Finger Food, Fast Food",500,no,yes,no,yes,3.6,
CLUB REGIO By Asteria,,Durgapura,42 Dining Reviews,Does not offer Delivery,Club ,"Finger Food, Italian, Continental, Chinese","1,800",no,no,no,yes,3.2,
Club XSS,,Shyam Nagar,120 Dining Reviews,Does not offer Delivery,"Lounge, Bar ","Finger Food, Continental, Fast Food","1,200",no,yes,no,yes,3.7,
CM Bakers,,Jagatpura,Not enough Dining Reviews,Not enough Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food",350,no,no,yes,yes,,
CM Bakers & Cafe,,Sanganer,98 Dining Reviews,"1,473 Delivery Reviews","CAFÉ, Bakery ","Cafe, Bakery",600,yes,no,yes,yes,3.6,3.7
CNF - Cheese & Fries,,Vaishali Nagar,198 Dining Reviews,629 Delivery Reviews,Kiosk ,"Fast Food, Beverages",400,yes,no,yes,yes,4.3,4.1
Coal Quilla,,Durgapura,47 Dining Reviews,53 Delivery Reviews,CAFÉ ,Cafe,500,yes,no,yes,yes,3.3,3.9
COB - Club Old Barrel,,Sodala,12 Dining Reviews,Does not offer Delivery,Lounge ,North Indian,"1,000",no,no,no,yes,2.5,
COC,,Jhotwara,7 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",300,yes,no,no,yes,2.8,
Cockpit Bar,,Shastri Nagar,11 Dining Reviews,Does not offer Delivery,"Bar, Casual Dining ","Finger Food, North Indian","1,300",no,yes,no,yes,2.9,
Cocktail Bar,,Raja Park,5 Dining Reviews,Does not offer Delivery,Bar ,"Finger Food, North Indian","1,000",no,yes,no,yes,2.6,
Coconut Restaurant by Tipsy,,Shastri Nagar,181 Dining Reviews,"1,375 Delivery Reviews",Casual Dining ,"North Indian, Chinese, Italian",800,yes,no,yes,yes,3.8,4.3
Coffee America,,Sitapur,Does not offer Dining,94 Delivery Reviews,,"Fast Food, Rolls, South Indian, Beverages",250,yes,no,yes,no,,3.3
Coffee Bae,,Durgapura,27 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food, Pizza, Beverages",400,yes,no,yes,yes,3.7,
Coffee Bar,,Malviya Nagar,67 Dining Reviews,547 Delivery Reviews,CAFÉ ,"Cafe, Fast Food, Beverages",250,no,no,yes,yes,3.7,3.5
Coffee Break,,Vaishali Nagar,256 Dining Reviews,"1,617 Delivery Reviews",CAFÉ ,"Cafe, Fast Food, Beverages","1,100",yes,no,yes,yes,4.1,4.1
Coffee Corner,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,"Beverage Shop, Quick Bites ","Coffee, Beverages, Fast Food",400,yes,no,no,yes,,
Coffee Junction,,Jhotwara,6 Dining Reviews,Does not offer Delivery,Quick Bites ,"Continental, Fast Food, Cafe",300,no,no,no,yes,3.1,
Coffee King Juice,,Vaishali Nagar,6 Dining Reviews,Does not offer Delivery,Beverage Shop ,"Beverages, Juices, Street Food",200,no,no,no,yes,,
Coffee King Statue Circle,,Chitrakoot,37 Dining Reviews,324 Delivery Reviews,CAFÉ ,"Cafe, Beverages",300,yes,no,yes,yes,3.7,4.2
Coffee On Demand,,Shastri Nagar,101 Dining Reviews,Not enough Delivery Reviews,Beverage Shop ,"Beverages, Fast Food",200,no,no,yes,yes,3.9,
Coffee Statue Circle,,Malviya Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages, Coffee",300,yes,no,no,yes,2.9,
Coffeesthan,,Pink City,Does not offer Dining,124 Delivery Reviews,Beverage Shop ,"Coffee, Beverages",250,yes,no,yes,no,,3.7
Coffeeyana,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food",300,no,no,yes,yes,,
Coffizza,,Bais Godam,Does not offer Dining,77 Delivery Reviews,Quick Bites ,"Fast Food, Beverages, Pizza",300,yes,no,yes,no,,4.1
Colonel's Cookhouse,,Central Jaipur,Does not offer Dining,77 Delivery Reviews,,Rajasthani,600,no,no,yes,no,,
Color Jar By The Livin,,Shastri Nagar,67 Dining Reviews,43 Delivery Reviews,Casual Dining ,"Chinese, North Indian, Fast Food",700,yes,no,yes,yes,3.6,3.9
Combo Tadka Restaurant,,Jagatpura,Does not offer Dining,428 Delivery Reviews,,"North Indian, Fast Food, Chinese",250,no,no,yes,no,,3.2
Communitea By NWC,,Chitrakoot,16 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Fast Food, Italian, Beverages",700,yes,no,no,yes,3.5,
Connecting Roots,,Jagatpura,4 Dining Reviews,Does not offer Delivery,Beverage Shop ,"Juices, Fast Food",100,no,no,no,yes,2.9,
Conversation - The Fern Hotel,,Durgapura,211 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Continental, Asian","1,500",no,yes,no,yes,3.2,
Cook & Curry Kitchen,,Bais Godam,Does not offer Dining,104 Delivery Reviews,,"Fast Food, North Indian",400,no,no,yes,no,,3.2
Cook Studio,,C Scheme,96 Dining Reviews,"1,323 Delivery Reviews",Casual Dining ,"North Indian, Mughlai, Fast Food",500,yes,no,yes,yes,3.8,3.8
Cooker King,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Mughlai,250,no,no,no,yes,,
Cookies & Ice Cream,,Adarsh Nagar,4 Dining Reviews,Does not offer Delivery,Dessert Parlor ,"Ice Cream, Beverages",250,yes,no,no,yes,3.3,
Copains A Place Cafe,,Mansarovar,8 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Chinese",400,yes,no,yes,yes,3.4,
Corner House,,C Scheme,372 Dining Reviews,57 Delivery Reviews,"Casual Dining, CAFÉ ","North Indian, Chinese, Italian, Beverages, Ice Cream","1,200",no,no,yes,yes,4.1,3.9
Corner Story,,C Scheme,7 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,600,no,no,yes,yes,3.1,
Cosmos - Cafe n Lounge,,Lal Kothi,86 Dining Reviews,19 Delivery Reviews,CAFÉ ,"Cafe, Fast Food",600,yes,no,yes,yes,2.9,2.5
Cosmos Jaipur,,Raja Park,178 Dining Reviews,404 Delivery Reviews,CAFÉ ,Cafe,400,yes,no,yes,yes,4.1,4
Cosmos Jaipur,,Mansarovar,292 Dining Reviews,"1,056 Delivery Reviews",CAFÉ ,"Cafe, Fast Food",500,yes,no,yes,yes,4,4.3
Costa Coffee,,Malviya Nagar,207 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food",500,no,no,no,yes,3.9,
Country Cakes,,Vaishali Nagar,Does not offer Dining,Not enough Delivery Reviews,Bakery ,Bakery,300,no,no,yes,no,,
Country Cakes,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,Bakery,500,no,no,yes,no,,
Country Cakes,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,Bakery,500,no,no,yes,no,,
County's Kitchen,,Vaishali Nagar,23 Dining Reviews,Does not offer Delivery,Casual Dining ,"Continental, Mexican, North Indian, Italian, Asian, Chinese",800,yes,no,no,yes,3,
Crazy Coffee,,C Scheme,397 Dining Reviews,"3,307 Delivery Reviews",CAFÉ ,"Cafe, Fast Food",400,yes,no,yes,yes,4.4,4.2
Crazy Coffee,,Jawahar Nagar,171 Dining Reviews,"1,273 Delivery Reviews",CAFÉ ,Cafe,400,yes,no,yes,yes,4,4.3
Crazy Coffee,,Malviya Nagar,98 Dining Reviews,145 Delivery Reviews,CAFÉ ,"Cafe, Continental, Beverages",500,yes,no,yes,yes,4,4.2
Crazy Craving,,Chitrakoot,4 Dining Reviews,Does not offer Delivery,"CAFÉ, Bakery ","Cafe, Bakery",200,no,no,no,yes,3.1,
Crazy Fast Food Center,,Mansarovar,56 Dining Reviews,"1,698 Delivery Reviews",Quick Bites ,Fast Food,250,yes,no,yes,yes,3.4,3.2
Crazy For Maggi,,Raja Park,Does not offer Dining,29 Delivery Reviews,,"Fast Food, Beverages",200,no,no,yes,no,,3.1
Crazy Juice & Ice Cream Parlour,,Sodala,Does not offer Dining,Not enough Delivery Reviews,,"Juices, Beverages",200,no,no,yes,no,,
Crazy Owl,,Vidhyadhar Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,250,no,no,no,yes,,
Crazy Samosa,,Pink City,Does not offer Dining,212 Delivery Reviews,,Street Food,100,yes,no,yes,no,,4
Crazy Samosa,,Tonk Phatak,Does not offer Dining,"1,957 Delivery Reviews",,Street Food,100,yes,no,yes,no,,3.4
Cream Bell,,Shastri Nagar,16 Dining Reviews,Does not offer Delivery,Dessert Parlor ,"Ice Cream, Desserts",200,yes,no,no,yes,3.3,
Cream Bell,,Gopalpura,9 Dining Reviews,Does not offer Delivery,,Ice Cream,200,no,no,no,yes,3.3,
Cream Bell,,Shastri Nagar,4 Dining Reviews,Not enough Delivery Reviews,Dessert Parlor ,"Ice Cream, Desserts",200,yes,no,yes,yes,3.3,
Cream Bell,,Jawahar Nagar,Does not offer Dining,Not enough Delivery Reviews,Dessert Parlor ,"Ice Cream, Desserts",200,yes,no,yes,no,,
Creamist,,Malviya Nagar,60 Dining Reviews,Does not offer Delivery,Dessert Parlor ,Ice Cream,300,yes,no,no,yes,3.6,
Crispy Delight,,Jagatpura,Does not offer Dining,227 Delivery Reviews,,"Fast Food, North Indian",500,no,no,yes,no,,3.1
Crossroads Diner,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Fast Food",200,no,no,yes,yes,,
Crudo'Minos Pizza,,Mansarovar,Does not offer Dining,546 Delivery Reviews,Quick Bites ,"Fast Food, Pizza",400,no,no,yes,no,,3.9
Crunchy Meal,,Bais Godam,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,,
Crush Cafe And Restaurant,,Lal Kothi,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",600,yes,no,yes,yes,,
Crystal Lounge,,Sindhi Camp,23 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Beverages","1,000",no,no,yes,yes,3.2,
Crystal Multicusine Restaurant,,Raja Park,21 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Continental, Chinese",500,no,no,yes,yes,3.7,
Culture,,C Scheme,579 Dining Reviews,287 Delivery Reviews,"CAFÉ, Casual Dining ","Cafe, Italian, Chinese, North Indian","1,200",yes,no,yes,yes,3.9,3.2
Culture-Days Hotel,,Durgapura,11 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Asian, Continental, Salad",800,no,no,no,yes,3.6,
Cum N Taste,,Pratap Nagar,29 Dining Reviews,48 Delivery Reviews,Quick Bites ,Chinese,300,no,no,yes,yes,3.6,3.9
Cup Affair,,Raja Park,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, Beverages",350,no,no,yes,yes,3.1,
Cup Of Joy,,Jhotwara,6 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Street Food, Beverages",350,yes,no,yes,yes,3.6,
Cup Of T,,Mansarovar,Does not offer Dining,116 Delivery Reviews,Beverage Shop ,"Tea, Fast Food",100,yes,no,yes,no,,3.6
Cup Tales,,Shastri Nagar,5 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Sandwich, Fast Food",400,no,no,no,yes,3.1,
Cup Tales,,Shyam Nagar,5 Dining Reviews,Does not offer Delivery,Quick Bites ,"Cafe, Italian, Beverages",400,no,no,no,yes,,
Cup Tea,,Lal Kothi,9 Dining Reviews,Does not offer Delivery,Beverage Shop ,Tea,100,no,no,no,yes,3.3,
Curious Life Coffee Roasters- Deer Park,,C Scheme,22 Dining Reviews,Does not offer Delivery,CAFÉ ,Cafe,500,no,no,no,yes,3.8,
Curious Life Coffee Roasters- Sarojini Marg,,C Scheme,879 Dining Reviews,Does not offer Delivery,CAFÉ ,Cafe,600,no,no,no,yes,4.7,
Curry,,Jhotwara,21 Dining Reviews,Does not offer Delivery,Food Court ,North Indian,500,yes,no,no,yes,3.4,
Curry Corner,,Shyam Nagar,35 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,500,no,no,yes,yes,3.8,
Curry Paradise Restaurant & Banquet,,Sansar Chandra Road,6 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, North Indian, Fast Food, Chinese, Beverages",500,yes,no,yes,yes,2.8,
Cuuve,,Shastri Nagar,17 Dining Reviews,Does not offer Delivery,Quick Bites ,"Beverages, Fast Food",400,yes,no,no,yes,3.6,
D 88 Restaurant,,Bais Godam,5 Dining Reviews,383 Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,2.5,2.9
D Sisters Kitchen,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Rajasthani",600,no,no,yes,no,,
Da Juice Bar,,West Jaipur,Does not offer Dining,Not enough Delivery Reviews,"Beverage Shop, Bakery ","Beverages, Bakery",250,no,no,yes,no,,
Daabri Cafe House,,Vaishali Nagar,Does not offer Dining,16 Delivery Reviews,,"Fast Food, Beverages",300,yes,no,yes,no,,3.9
Daabri Cafe House,,Malviya Nagar,43 Dining Reviews,247 Delivery Reviews,Quick Bites ,"Fast Food, Beverages",300,yes,no,yes,yes,3.4,3.7
Daal Makhani's Amritsari Dhaba,,Mansarovar,191 Dining Reviews,"1,442 Delivery Reviews",Quick Bites ,"North Indian, Chinese",350,yes,no,yes,yes,3.4,4.2
Daawat Indian Cuisine Restaurant,,Malviya Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,2.9,
Dabbu Ka Dhaba,,Vaishali Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, South Indian",400,yes,no,no,yes,,
Dabbu's Kitchen,,C Scheme,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Dabloo Roll,,North Jaipur,Does not offer Dining,Not enough Delivery Reviews,,Rolls,100,no,no,yes,no,,
Dad's Tea Retreat,,Malviya Nagar,27 Dining Reviews,76 Delivery Reviews,"Beverage Shop, Quick Bites ","Fast Food, Tea, Beverages",300,yes,no,yes,yes,3.4,3.7
Dadu Dayal Mishthan Bhandar,,Malviya Nagar,118 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,200,yes,no,no,yes,3.6,
Dadu Dayal Sweets,,Tonk Phatak,Does not offer Dining,"3,291 Delivery Reviews",Sweet Shop ,Mithai,200,yes,no,yes,no,,4.2
Dagla - The Rooftop,,Pink City,54 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Rajasthani, Italian",900,no,no,yes,yes,3.9,
Daily Dose Cafe,,Vidhyadhar Nagar,8 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Pizza, Beverages",400,yes,no,yes,yes,3.4,
Daily Nutrition Diet - DND,,C Scheme,Does not offer Dining,157 Delivery Reviews,,"Healthy Food, Beverages",400,no,no,yes,no,,4.5
Dakshin,,Bais Godam,37 Dining Reviews,Does not offer Delivery,Food Court ,South Indian,300,yes,no,no,yes,2.4,
Dal Bati Churma Restaurant,,Bani Park,188 Dining Reviews,164 Delivery Reviews,Casual Dining ,"North Indian, Rajasthani",500,yes,no,yes,yes,3.8,3.8
Dal Bati.com,,Jhotwara,Does not offer Dining,137 Delivery Reviews,,"Rajasthani, North Indian, Desserts",250,no,no,yes,no,,3.8
Dalchini,,MI Road,16 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, South Indian, Continental","1,200",no,yes,yes,yes,3.1,
Dana Pani,,Vidhyadhar Nagar,186 Dining Reviews,347 Delivery Reviews,Casual Dining ,"North Indian, South Indian, Chinese, Beverages",700,yes,no,yes,yes,3.5,4
Dana Pani Elite,,Malviya Nagar,571 Dining Reviews,989 Delivery Reviews,Casual Dining ,"North Indian, South Indian","1,100",yes,no,yes,yes,4,3.6
Darbar Hall,,C Scheme,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Rajasthani, Chinese, Fast Food",750,no,no,no,yes,,
Darbar Hall,,Sansar Chandra Road,7 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,"1,100",no,yes,no,yes,3.6,
Dark Bite,,Raja Park,12 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"Chinese, North Indian, Mughlai, Beverages",500,no,no,yes,yes,3.5,
Daryaka Home,,Jhotwara,Does not offer Dining,Not enough Delivery Reviews,,Rajasthani,300,no,no,yes,no,,
Dasaprakash,,MI Road,536 Dining Reviews,332 Delivery Reviews,Casual Dining ,South Indian,"1,000",yes,no,yes,yes,4.3,4.3
Davat,,Sindhi Camp,7 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese",600,no,yes,no,yes,3.2,
Dawat - E - Jaipur,,South Jaipur,7 Dining Reviews,Does not offer Delivery,,"North Indian, Street Food, Chinese, Momos, Pizza, Burger, Fast Food",400,no,no,no,yes,,
Dawat -E- Lucknow,,Vaishali Nagar,29 Dining Reviews,113 Delivery Reviews,Casual Dining ,"Mughlai, Lucknowi, North Indian, Biryani, Beverages",600,no,no,yes,yes,3.7,3.4
Day Dream Food Corner,,Khatipura Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Chinese, Fast Food",350,no,no,no,yes,,
Dayra,,Mansarovar,Does not offer Dining,948 Delivery Reviews,,Fast Food,200,no,no,yes,no,,2.7
DaYra,,Malviya Nagar,53 Dining Reviews,634 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.2,3.2
