Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Kesar Kanha,,Chitrakoot,98 Dining Reviews,313 Delivery Reviews,Casual Dining ,"North Indian, Chinese",800,yes,no,yes,yes,3.6,3.1
Kesar Kyari - The Bar-be-que,,Sitapur,7 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,"1,000",no,yes,no,yes,3.3,
Kesari,,Malviya Nagar,11 Dining Reviews,Does not offer Delivery,Kiosk ,"North Indian, Fast Food",400,yes,no,no,yes,3.5,
Kesari Kitchen,,West Jaipur,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Keshav Fresh,,Tonk Phatak,15 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,350,yes,no,no,yes,3.7,
Keshwani's New Take Away,,Chitrakoot,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food",600,no,no,yes,no,,
Ketli Restaurant,,Malviya Nagar,743 Dining Reviews,176 Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food, Italian",700,no,no,yes,yes,4,3.4
Keventers - Milkshakes & Ice Creams,,C Scheme,123 Dining Reviews,"1,545 Delivery Reviews",Beverage Shop ,"Beverages, Desserts, Ice Cream",400,yes,no,yes,yes,3.9,4.3
Keventers - Milkshakes & Ice Creams,,Malviya Nagar,Does not offer Dining,619 Delivery Reviews,Food Court ,"Beverages, Desserts, Ice Cream",400,yes,no,yes,no,,4.2
Keventers - Milkshakes & Ice Creams,,Malviya Nagar,Does not offer Dining,"1,304 Delivery Reviews","Beverage Shop, Dessert Parlor ","Beverages, Desserts, Ice Cream",400,yes,no,yes,no,,4.1
KFB,,Khatipura Road,Does not offer Dining,Not enough Delivery Reviews,,"Bakery, Fast Food",200,no,no,yes,no,,
KFC,,Malviya Nagar,"1,122 Dining Reviews","6,239 Delivery Reviews",Food Court ,"Burger, Fast Food, Beverages",450,no,no,yes,yes,4.1,3.8
KGN Bakers And Cafe,,Sikar Road,53 Dining Reviews,387 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Sandwich, Pizza, Fast Food",250,yes,no,yes,yes,3.7,4.2
KGN Biryani House,,MI Road,6 Dining Reviews,Does not offer Delivery,Quick Bites ,Biryani,200,no,no,no,yes,2.6,
KGN Fast Food N Roll,,Jhotwara,Does not offer Dining,21 Delivery Reviews,,"Rolls, Chinese, Momos, Fast Food",250,no,no,yes,no,,2.6
Khaas Kadhai,,Chitrakoot,Does not offer Dining,130 Delivery Reviews,,"North Indian, Chinese, Fast Food, Street Food, Beverages",500,no,no,yes,no,,3.6
Khalsa Tiffin Center,,Vaishali Nagar,7 Dining Reviews,Does not offer Delivery,,North Indian,150,yes,no,no,yes,2.8,
Khamma Ghani Restaurant,,Ajmer Highway,23 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Rajasthani",250,yes,no,no,yes,3.3,
Khan Fried Palace,,Pink City,144 Dining Reviews,660 Delivery Reviews,Quick Bites ,Fast Food,300,no,no,yes,yes,3.9,4.1
Khana Khajana Restaurant,,Pratap Nagar,Does not offer Dining,186 Delivery Reviews,,"North Indian, Chinese",300,no,no,yes,no,,3
Khana Khazana,,Pratap Nagar,81 Dining Reviews,575 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,yes,3.5,3.9
Khana Khazana,,Vaishali Nagar,Does not offer Dining,62 Delivery Reviews,,"North Indian, Chinese, Fast Food",350,no,no,yes,no,,3.4
Khana Khazana Mom Made Food,,Ajmer Highway,14 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.5,
Khana Lababdar,,Ajmer Highway,18 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, North Indian, Chinese",200,yes,no,yes,yes,3.2,
Khandela Haveli Restaurant,,Bani Park,20 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,"1,500",no,yes,no,yes,3.5,
Khandelwal Dal Bati,,Sanganer,15 Dining Reviews,98 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.3,3.2
Khandelwal Dhaba,,Vidhyadhar Nagar,"1,348 Dining Reviews",22.3K Delivery Reviews,Dhaba ,North Indian,400,yes,no,yes,yes,3.9,3.7
Khandelwal Dhaba,,Sodala,202 Dining Reviews,12.5K Delivery Reviews,Dhaba ,North Indian,400,yes,no,yes,yes,3.8,3.5
Khandelwal Dhaba,,Sodala,6 Dining Reviews,Not enough Delivery Reviews,Dhaba ,North Indian,300,yes,no,yes,yes,2.4,
Khandelwal Dhaba,,Sanganer,286 Dining Reviews,"7,167 Delivery Reviews",Dhaba ,North Indian,300,yes,no,yes,yes,3.9,3.2
Khandelwal Dhaba,,Pratap Nagar,32 Dining Reviews,944 Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.4,3.6
Khandelwal Dhaba,,Sanganer,32 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, South Indian",400,yes,no,no,yes,3.6,
Khandelwal Dhaba,,Sanganer,16 Dining Reviews,497 Delivery Reviews,Quick Bites ,North Indian,250,no,no,yes,yes,3.1,3.2
Khandelwal Dhaba,,Jhotwara,15 Dining Reviews,461 Delivery Reviews,Quick Bites ,North Indian,350,yes,no,yes,yes,2.7,3.9
Khandelwal Dhaba- Alwar Wale,,Jagatpura,Does not offer Dining,130 Delivery Reviews,,"North Indian, Chinese, Italian, Fast Food, Desserts, Beverages",250,yes,no,yes,no,,3.4
Khandelwal Dhaba Baandikui Wale,,Sikar Road,203 Dining Reviews,"4,058 Delivery Reviews",Quick Bites ,North Indian,450,no,no,yes,yes,3.7,4
Khandelwal Dhaba Purana Wala,,Sikar Road,326 Dining Reviews,"2,613 Delivery Reviews",Quick Bites ,"North Indian, Chinese, Fast Food",450,no,no,yes,yes,4,4
Khandelwal Dhaba Since 1985,,Sanganer,85 Dining Reviews,"3,015 Delivery Reviews",Quick Bites ,"North Indian, Chinese, Biryani",400,yes,no,yes,yes,3.3,3
Khandelwal Foods,,Sikar Road,178 Dining Reviews,353 Delivery Reviews,Casual Dining ,"North Indian, Chinese",500,no,no,yes,yes,3.9,4.3
Khandelwal Pavitra Bhojanalaya,,Gopalbari,18 Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,400,yes,no,no,yes,2.6,
Khandelwal Pavitra Bhojnalaya,,Sindhi Camp,179 Dining Reviews,"6,860 Delivery Reviews",Dhaba ,North Indian,400,no,no,yes,yes,3.6,4.1
Khandelwal Pavitra Bhojnalaya,,Pink City,306 Dining Reviews,"8,068 Delivery Reviews",Dhaba ,North Indian,300,yes,no,yes,yes,3.8,3.9
Khandelwal Pavitra Bhojnalaya,,Pink City,36 Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,200,yes,no,no,yes,3.5,
Khandelwal Pure Veg. Dhaba,,Vaishali Nagar,9 Dining Reviews,46 Delivery Reviews,Casual Dining ,"North Indian, Fast Food, Beverages",750,no,no,yes,yes,3.2,3.9
Khandelwal Sweet Palace,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",200,yes,no,no,yes,,
Khandelwal Sweets,,Tonk Phatak,8 Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",150,yes,no,no,yes,3.2,
Khandelwal Sweets & Namkeen Bhandar,,Transport Nagar,52 Dining Reviews,Does not offer Delivery,"Sweet Shop, Quick Bites ","Mithai, Street Food",100,yes,no,no,yes,3,
Khansama,,Bani Park,70 Dining Reviews,340 Delivery Reviews,Quick Bites ,"North Indian, Rolls",500,no,no,yes,yes,3.6,3.9
Khansama The Traditional Kitchen,,C Scheme,16 Dining Reviews,Does not offer Delivery,Quick Bites ,"Rajasthani, North Indian",400,no,no,no,yes,3.7,
